domain,batch,placed_company,designation,age,degree,cs_bg,experience,avg_time,holidays,week_back,city,skills,graduated,salary
Mobile Development Using Flutter,BCK27,Dword Core PVT LTD.,Flutter Developer,22.0,No Degree,No,No,12.0,Yes,1.0,WFH,"React, Node, HTML, CSS, TailwindCSS, SCSS, MongoDB, AWS, Git, SQL",Yes,4.4
MERN Stack,BCK26,Dword Core PVT LTD.,MERN Stack Developer,26.0,Degree,No,No,7.0,No,0.0,Calicut ,"Python, HTML, CSS, Deep Learning, OpenCV, CNN, Computer Vision",Yes,3.6
Web Development Using Python Django,BCK26,Glitchh,Back-end Developer,24.0,No Degree,No,No,9.0,No,7.0,Bangalore,"React, Node, HTML, CSS, TailwindCSS, SCSS, MongoDB, AWS, Git, SQL",Yes,3.0
Mobile Development Using Flutter,BCE30,Lepton Plus Communications,Junior Developer,21.0,No Degree,No,No,9.0,Yes,7.0,Bangalore,"React,node,js,typescript,expresses,mongodb,html,css,tailwind css, ",Yes,3.6
Mobile Development Using Flutter,BCK27,Dword Core PVT LTD.,Flutter NodeJS Developer ,22.0,No Degree,Yes,No,10.0,Yes,7.0,WFH,"Angular, Express, Node, MongoDB, MySQL, Typescript, Html, CSS, Ajax, jquery, DataStrures",Yes,4.4
MERN Stack,BCE28,TCP INTERNATIONAL Inc,Node.Js Developer,24.0,No Degree,No,No,12.0,No,0.0,Bangalore,"Angular, Express, Node, MongoDB, MySQL, Typescript, Html, CSS, Ajax, jquery, DataStrures",Yes,3.6
Web Development Using Python Django,BCE28,Arvension Technologies LLP,Python Developer,22.0,No Degree,No,No,13.0,Yes,2.0,Bangalore,"Angular, Express, Node, MongoDB, MySQL, Typescript, Html, CSS, Ajax, jquery, DataStrures",Yes,4.0
Web Development Using Python Django,BCK27,NST Cyber,Associate Product Engineer ,22.0,No Degree,Yes,No,8.0,Yes,5.0,Bangalore,"React, Node, Html, css, js, express, aws, docker, niginx, typescipt",Yes,6.0
MEAN Stack,BCE28,FlexM Pvt. Ltd.,Full Stack Developer,23.0,No Degree,No,No,11.0,Yes,4.0,Bangalore,"Angular, Express, Node, MongoDB, MySQL, Typescript, Html, CSS, Ajax, jquery, DataStrures",Yes,4.0
MERN Stack,BCK29,BOSC Tech Labs,Software Developer,23.0,No Degree,Yes,No,11.0,Yes,5.0,WFH,"React, Node, HTML, CSS, TailwindCSS, SCSS, MongoDB, AWS, Git, SQL",Yes,5.0
MERN Stack,BCK27,Go Swift,MERN Stack Developer,21.0,No Degree,No,No,10.0,No,1.0,WFH,"React, Node, HTML, CSS, TailwindCSS, SCSS, MongoDB, AWS, Git, SQL",Yes,4.2
Mobile Development Using Flutter,BCK29,Mobikasa Pvt Ltd,Flutter Developer ,22.0,Degree,No,No,10.0,Yes,2.0,Bangalore,"Angular, Express, Node, MongoDB, MySQL, Typescript, Html, CSS, Ajax, jquery, DataStrures",Yes,4.5
MERN Stack,BCK29,Dword Core PVT LTD.,Full Stack Developer,22.0,No Degree,No,No,13.0,Yes,7.0,Manjeri Malappuram ,"Angular, Express, Node, MongoDB, MySQL, Typescript, Html, CSS, Ajax, jquery, DataStrures",Yes,3.6
MERN Stack,BCK32,Kompalli Data Solutions Pvt Ltd,Backend Developer ,22.0,Degree,Yes,No,9.0,Yes,7.0,Ernakulam,"React,node js , nest js , express js , jest,go etc",Yes,4.0
MERN Stack,BCK27,Secure Info Pvt. Ltd,Software Programmer,22.0,Degree,Yes,No,10.0,No,4.0,WFH,"React, Node, Html, css, js, express, aws, docker, niginx, typescipt",Yes,5.5
MERN Stack,BCK27,QuoDroid Software Development Pvt. Ltd,Web Developer ,22.0,No Degree,Yes,No,10.0,No,2.0,Bangalore,"React, Node, HTML, CSS, TailwindCSS, SCSS, MongoDB, AWS, Git, SQL",No,4.8
MERN Stack,BCK31,Applore,MERN Stack Developer,22.0,No Degree,Yes,No,8.0,Yes,4.0,Manjeri Malappuram ,"React, Node, HTML, CSS, TailwindCSS, SCSS, MongoDB, AWS, Git, SQL",Yes,5.0
MERN Stack,BCK31,BOSC Tech Labs,Software Developer,22.0,No Degree,Yes,No,9.0,No,2.0,WFH,"React, Node, HTML, CSS, TailwindCSS, SCSS, MongoDB, AWS, Git, SQL",Yes,5.0
Mobile Development Using Flutter,BCK29,Infonium Technologies,Software Developer,22.0,No Degree,No,No,12.0,Yes,7.0,Bangalore,"Angular, Express, Node, MongoDB, MySQL, Typescript, Html, CSS, Ajax, jquery, DataStrures",Yes,3.6
Golang,BCK26,Lotus Wireless Technologies India Pvt Ltd,Junior Developer ,25.0,No Degree,No,Yes [ Non IT industry ],12.0,No,0.0,Calicut ,"Angular, Express, Node, MongoDB, MySQL, Typescript, Html, CSS, Ajax, jquery, DataStrures",Yes,5.7
Web Development Using Python Django,BCK29,Moneyclub Technologies  Pvt Ltd,Software Developer,23.0,Degree,Yes,No,10.0,No,1.0,WFH,"React, Node, HTML, CSS, TailwindCSS, SCSS, MongoDB, AWS, Git, SQL",No,4.5
MERN Stack,BCK31,Karle Infra Pvt Ltd,Software Developer,21.0,No Degree,Yes,No,9.0,No,5.0,Hyderabad,"React, Node, Html, css, js, express, aws, docker, niginx, typescipt",Yes,5.75
Mobile Development Using Flutter,BCK29,Letmegrab,Junior Developer ,22.0,No Degree,Yes,No,10.0,No,7.0,Bangalore,"Angular, Express, Node, MongoDB, MySQL, Typescript, Html, CSS, Ajax, jquery, DataStrures",Yes,5.4
MERN Stack,BCK24,Neutrinos, Associate Product Engineer,23.0,No Degree,Yes,No,10.0,No,2.0,WFH,"Angular, Express, Node, MongoDB, MySQL, Typescript, Html, CSS, Ajax, jquery, DataStrures",Yes,6.0
Web Development Using Python Django,BCK29,iDream Education,Flutter developer,21.0,Degree,Yes,No,9.0,Yes,4.0,Calicut ,"Dart,Api integration,",Yes,4.6
MERN Stack,BCE34,Brototype,Executive Placement Officer,22.0,Degree,Yes,No,10.0,No,1.0,Bangalore,"React,node,js,typescript,expresses,mongodb,html,css,tailwind css, ",Yes,5.0
Mobile Development Using Flutter,BCK29,Theecode,Software Engineer,22.0,No Degree,Yes,No,10.0,Yes,5.0,Bangalore,"React, Node, HTML, CSS, TailwindCSS, SCSS, MongoDB, AWS, Git, SQL",No,5.0
Golang,BCE30,CWD Limited,Golang Developer,22.0,Degree,Yes,No,9.0,No,7.0,Manjeri Malappuram ,"Angular, Express, Node, MongoDB, MySQL, Typescript, Html, CSS, Ajax, jquery, DataStrures",Yes,5.5
Mobile Development Using Flutter,BCK27,Marlo Technologies,Junior flutter developer ,22.0,No Degree,No,No,14.0,Yes,7.0,Bangalore,"React, Node, HTML, CSS, TailwindCSS, SCSS, MongoDB, AWS, Git, SQL",No,4.25
Mobile Development Using Flutter,BCE30,IQ General Pvt. Ltd.,Software developer,22.0,No Degree,Yes,No,9.0,No,1.0,Bangalore,"Angular, Express, Node, MongoDB, MySQL, Typescript, Html, CSS, Ajax, jquery, DataStrures",Yes,5.0
Mobile Development Using Flutter,BCK27,Codecraft technologies pvt,Flutter developer trainee ,22.0,No Degree,No,No,11.0,Yes,7.0,Manjeri Malappuram ,"Angular, Express, Node, MongoDB, MySQL, Typescript, Html, CSS, Ajax, jquery, DataStrures",Yes,4.3
MERN Stack,BCK26,Maison D' Auraine,Full stack developer,24.0,No Degree,No,No,9.0,No,4.0,Manjeri Malappuram ,"React,node,js,typescript,expresses,mongodb,html,css,tailwind css, ",Yes,3.6
MERN Stack,BCK29,MedleyMed,Trainee - Software Engineer,22.0,Degree,Yes,No,10.0,Yes,2.0,Bangalore,"React,node,js,typescript,expresses,mongodb,html,css,tailwind css, ",Yes,4.5
Mobile Development Using Flutter,BCK32,GeekSynergy Technologies Pvt. Ltd,Flutter Developer,23.0,Degree,Yes,No,10.0,No,0.0,Bangalore,"React, Node, HTML, CSS, TailwindCSS, SCSS, MongoDB, AWS, Git, SQL",Yes,3.0
MERN Stack,BCK29,Isport technologies,ReactJS Developer,22.0,Degree,Yes,No,10.0,No,1.0,Bangalore,"Angular, Express, Node, MongoDB, MySQL, Typescript, Html, CSS, Ajax, jquery, DataStrures",Yes,4.5
MERN Stack,BCK26,Bipolar Factory,Full stack developer,24.0,Degree,No,No,7.0,No,0.0,Manjeri Malappuram ,"Python, HTML, CSS, Deep Learning, OpenCV, CNN, Computer Vision",Yes,4.0
MERN Stack,BCE28,Artifitia Solutions ,Junior Web Developer,22.0,No Degree,No,No,9.0,No,1.0,WFH,"Angular, Express, Node, MongoDB, MySQL, Typescript, Html, CSS, Ajax, jquery, DataStrures",Yes,3.6
MERN Stack,BCE43,IQ General Pvt. Ltd.,Software Developer,21.0,Degree,Yes,No,10.0,No,4.0,Nagercoil ,"React, Node js, html, css, bootstrap, git, Ms office, Mysql, mongodb, express js.",Yes,4.5
MERN Stack,BCK29,Neutrinos,Associate product engineer,22.0,Degree,Yes,No,10.0,No,4.0,WFH,"React,node,js,typescript,expresses,mongodb,html,css,tailwind css, ",Yes,6.0
MERN Stack,BCK31,Codebucket solution,Associate Developer,21.0,No Degree,Yes,No,10.0,No,7.0,Manjeri Malappuram ,"React, Node, HTML, CSS, TailwindCSS, SCSS, MongoDB, AWS, Git, SQL",No,4.0
MERN Stack,BCK29,Artifitia Solutions ,MERN stack developer,22.0,Degree,No,No,10.0,No,4.0,WFH,"React, Node, HTML, CSS, TailwindCSS, SCSS, MongoDB, AWS, Git, SQL",No,3.0
Mobile Development Using Flutter,BCK29,Flyweis Technology,Flutter developer,23.0,Degree,Yes,No,10.0,Yes,4.0,Bangalore,"React, Node, HTML, CSS, TailwindCSS, SCSS, MongoDB, AWS, Git, SQL",Yes,3.6
MERN Stack,BCE39,Recotap,Software Engineer,22.0,Degree,No,No,10.0,Yes,5.0,Chennai,"React, Node, HTML, CSS, TailwindCSS, SCSS, MongoDB, AWS, Git, SQL",Yes,3.6
DevOps,BCK27,Faclon Labs Mumbai,DevOps Trainee,21.0,Degree,No,No,10.0,No,4.0,WFH,"React,node,js,typescript,expresses,mongodb,html,css,tailwind css, ",Yes,3.6
MERN Stack,BCK29,Vensure,Project Engineer Backend,21.0,Degree,No,No,9.0,Yes,4.0,WFH,"React, Node, HTML, CSS, TailwindCSS, SCSS, MongoDB, AWS, Git, SQL",No,4.3
MERN Stack,BCK32,Creware Technology Pvt ltd,MERN stack developer,22.0,Degree,No,No,9.0,No,2.0,Bangalore,"Angular, Express, Node, MongoDB, MySQL, Typescript, Html, CSS, Ajax, jquery, DataStrures",Yes,3.5
Cybersecurity,BCK24,"WeSecureApp, Tek Cube Pvt Ltd",Junior Security Analyst,23.0,No Degree,No,No,10.0,No,7.0,Bangalore,"React, Node, HTML, CSS, TailwindCSS, SCSS, MongoDB, AWS, Git, SQL",No,2.0
MERN Stack,BCK31,Maison D' Auraine,Mern Stack Developer,22.0,Degree,No,No,9.0,Yes,4.0,Bangalore,"React, Node, HTML, CSS, TailwindCSS, SCSS, MongoDB, AWS, Git, SQL",Yes,3.6
MERN Stack,BCE34,Rock IMS,Nodejs Developer,22.0,No Degree,No,No,10.0,No,2.0,WFH,"Angular, Express, Node, MongoDB, MySQL, Typescript, Html, CSS, Ajax, jquery, DataStrures",Yes,5.28
MERN Stack,BCK32,SRV,React Developer,23.0,Degree,Yes,No,10.0,Yes,5.0,WFH,"React,Python,SQL,Django,Html,Css",Yes,3.0
MERN Stack,BCE40,WEZBO,Junior Developer,22.0,Degree,Yes,No,10.0,Yes,7.0,Bangalore,"React, Node, HTML, CSS, TailwindCSS, SCSS, MongoDB, AWS, Git, SQL",No,3.6
Mobile Development Using Flutter,BCK32,BigWelt Infotech Pvt. Ltd,Flutter Developer,23.0,No Degree,No,No,10.0,No,1.0,Bangalore,"Angular, Express, Node, MongoDB, MySQL, Typescript, Html, CSS, Ajax, jquery, DataStrures",Yes,1.8
Mobile Development Using Flutter,BCE34,Infotura Technologies ,Flutter Developer ,22.0,Degree,Yes,No,10.0,No,4.0,WFH,"React,Node,HTML,CSS,Java Script,Redux,JQuery,",Yes,5.5
Mobile Development Using Flutter,BCK32,BigWelt Infotech Pvt. Ltd,Flutter developer,22.0,Degree,Yes,No,13.0,Yes,2.0,Bangalore,"React, Node, HTML, CSS, TailwindCSS, SCSS, MongoDB, AWS, Git, SQL",No,1.8
MERN Stack,BCE34,Arab Industries,Junior MERN Stack Developer,22.0,Degree,Yes,No,10.0,Yes,7.0,Bangalore,"React, Node, HTML, CSS, TailwindCSS, SCSS, MongoDB, AWS, Git, SQL",Yes,3.6
Web Development Using Python Django + React,BCK27,Codebeat,Data Analyst,24.0,No Degree,Yes,No,10.0,Yes,5.0,Manjeri,"Python, HTML, CSS, Deep Learning, OpenCV, CNN, Computer Vision",Yes,5.0
Golang,BCE39A,Techno Softwares,Golang Developer,22.0,Degree,Yes,No,9.0,Yes,4.0,WFH,"React js, node js, mongodb, express js, html& css,sass,aws,jquary, my sql, bootstrap, mui etc..",Yes,6.0
Web Development Using Python Django,BCK31,CloudBerry360 Technologies Pvt Ltd,Associate Software Engineer,22.0,No Degree,Yes,No,9.0,Yes,4.0,WFH,"Angular, Express, Node, MongoDB, MySQL, Typescript, Html, CSS, Ajax, jquery, DataStrures",Yes,5.0
MERN Stack,BCK32,Eqaim Technology & Services,Full Stack Developer,24.0,Degree,No,No,16.0,Yes,1.0,WFH,"React, Node, Html, CSS, SCSS, Next",Yes,4.5
MERN Stack,BCE33,Study Quotient pvt ltd ,Full Stack Developer,22.0,No Degree,No,No,12.0,No,7.0,Bangalore,"React,node,js,typescript,expresses,mongodb,html,css,tailwind css, ",Yes,5.8
Mobile Development Using Flutter,BCE34,ThoughtBox,Mobile Application Developer Flutter,22.0,No Degree,Yes,No,7.0,Yes,7.0,Bangalore,"Angular, Express, Node, MongoDB, MySQL, Typescript, Html, CSS, Ajax, jquery, DataStrures",Yes,5.28
Mobile Development Using Flutter,BCK26,Infotura Technologies ,Flutter Developer ,23.0,Degree,No,No,10.0,Yes,1.0,WFH,"React, Node, HTML, CSS, TailwindCSS, SCSS, MongoDB, AWS, Git, SQL",Yes,3.6
MERN Stack,BCE33,Paripoorna Software Solutions,Software Developer - trainee,22.0,No Degree,Yes,No,10.0,No,2.0,Bangalore,"Angular, Express, Node, MongoDB, MySQL, Typescript, Html, CSS, Ajax, jquery, DataStrures",Yes,6.0
Web Development Using Python Django + React,BCK27,Markytics Consulting Private Limited,Python developer,22.0,No Degree,No,No,13.0,Yes,5.0,Manjeri,"React, Node, HTML, CSS, TailwindCSS, SCSS, MongoDB, AWS, Git, SQL",No,4.4
MERN Stack,BCE34,Thapovan Info Systems Inc,Junior Programmer Analyst ,23.0,Degree,No,No,10.0,No,2.0,WFH,"React,node,js,typescript,expresses,mongodb,html,css,tailwind css, ",Yes,5.0
MERN Stack,BCK32,Artifitia Solutions ,Mern Stack Developer,22.0,Degree,No,No,10.0,No,4.0,WFH,"Angular, Express, Node, MongoDB, MySQL, Typescript, Html, CSS, Ajax, jquery, DataStrures",Yes,3.0
Web Development Using Python Django,BCK29,STGI Technologies Consulting Pvt. Ltd,Software Engineer(Backend),23.0,No Degree,No,No,10.0,No,0.0,Bangalore,"Angular, Express, Node, MongoDB, MySQL, Typescript, Html, CSS, Ajax, jquery, DataStrures",Yes,4.5
Web Development Using Python Django + React,BCK31,Vibencode Private Limited,Backend Developer ,25.0,No Degree,No,No,11.0,No,0.0,WFH,"Angular, Node JS, Express JS, HTML, CSS, Linux, MongoDB, Vim",Yes,3.6
MERN Stack,BCK32,Paripoorna Software Solutions,Trainee-Software Developer ,22.0,No Degree,No,No,10.0,No,7.0,Chennai,"React, Node, HTML, CSS, TailwindCSS, SCSS, MongoDB, AWS, Git, SQL",Yes,3.7
Mobile Development Using Flutter,BCE30,Oonzoo ,Flutter Developer ,22.0,Degree,No,No,10.0,Yes,4.0,WFH,"Angular, Express, Node, MongoDB, MySQL, Typescript, Html, CSS, Ajax, jquery, DataStrures",Yes,4.2
MERN Stack,BCE33,Dotworld ,Associate Software Engineer,23.0,No Degree,No,Yes [ Non IT industry ],16.0,Yes,1.0,Bangalore,"React, Node, Nest, Next, HTML, CSS, MUI, Socket.io, MongoDB, Javascript, Bootstrap, Tailwind CSS, jQuery, Redux, Express JS, Mongoose, JWT, Git, Postman, Firebase, Vercel, Nginx",Yes,3.38
MERN Stack,BCK29,Theecode,Software Engineer ,22.0,No Degree,Yes,No,7.0,Yes,2.0,Bangalore,"React,node,js,typescript,expresses,mongodb,html,css,tailwind css, ",Yes,5.0
MERN Stack,BCE30,Paripoorna Software Solutions,Trainee - Software Developer,22.0,No Degree,Yes,No,12.0,No,2.0,Bangalore,"React, Node, HTML, CSS, TailwindCSS, SCSS, MongoDB, AWS, Git, SQL",Yes,4.8
MERN Stack,BCK29,Miztech AI Minds Pvt. Ltd.,Product Engineer Associate,22.0,Degree,Yes,No,10.0,Yes,2.0,Bangalore,"Angular, Express, Node, MongoDB, MySQL, Typescript, Html, CSS, Ajax, jquery, DataStrures",Yes,2.16
Web Development Using Python Django + React,BCK35,Skoot Hat,Software Developer Engineer,31.0,Diploma,No,Yes [ Non IT industry ],12.0,Yes,2.0,Chennai works from office ,"Html,CSS",Yes,6.0
Cybersecurity,BCK29,CodeGreen,SOC Engineer,22.0,No Degree,Yes,No,9.0,No,7.0,Bangalore,"React js, node js, mongodb, express js, html& css,sass,aws,jquary, my sql, bootstrap, mui etc..",Yes,12.0
Mobile Development Using Flutter,BCK29,Kerner Norland,Flutter Developer ,22.0,No Degree,Yes,No,7.0,Yes,5.0,Manjeri Malappuram ,"React,node,js,typescript,expresses,mongodb,html,css,tailwind css, ",Yes,8.7
MERN Stack,BCE36,Qitaabe,Software Developer ,22.0,No Degree,Yes,No,9.0,No,0.0,Bangalore,"React,node,js,typescript,expresses,mongodb,html,css,tailwind css, ",No,4.8
MERN Stack,BCE36,Best engineering aids and consultancies (BEACON) Private Limited,Full Stack Developer ,23.0,Degree,No,No,10.0,No,2.0,Bangalore,"React,node,js,typescript,expresses,mongodb,html,css,tailwind css, ",Yes,6.0
Web Development Using Python Django + React,BCK31,Infotura Technologies ,Python Backend Developer,22.0,No Degree,No,No,9.0,Yes,7.0,Manjeri,"React, Node, HTML, CSS, TailwindCSS, SCSS, MongoDB, AWS, Git, SQL",No,4.2
MERN Stack,BCK29,Theecode,Software Engineer,22.0,No Degree,Yes,No,10.0,No,7.0,Bangalore,"React, Node, HTML, CSS, TailwindCSS, SCSS, MongoDB, AWS, Git, SQL",Yes,5.0
MERN Stack,BCT37,Zvoid India Pvt Ltd,Full stack developer ,22.0,Degree,Yes,No,10.0,No,4.0,WFH,"Angular, Express, Node, MongoDB, MySQL, Typescript, Html, CSS, Ajax, jquery, DataStrures",Yes,6.8
Web Development Using Python Django,BCK29,Infotura Technologies ,Python Developer,25.0,Diploma,No,Yes [ Non IT industry ],13.0,Yes,2.0,Hyderabad ,"Html,CSS",Yes,4.2
Mobile Development Using Flutter,BCK31,Beworld Web Services PVT LTD,Junior Flutter Developer ,22.0,No Degree,Yes,No,9.0,Yes,3.0,Bangalore,"Angular, Express, Node, MongoDB, MySQL, Typescript, Html, CSS, Ajax, jquery, DataStrures",Yes,4.8
MERN Stack,BCK31,Rock IMS,Node JS Developer ,22.0,No Degree,No,No,10.0,No,0.0,Bangalore,"Angular, Express, Node, MongoDB, MySQL, Typescript, Html, CSS, Ajax, jquery, DataStrures",Yes,4.5
Mobile Development Using Flutter,BCK29,Brilliant System Solutions ,Flutter Developer (android/ios),22.0,No Degree,Yes,No,9.0,Yes,5.0,Manjeri Malappuram ,"Angular, Express, Node, MongoDB, MySQL, Typescript, Html, CSS, Ajax, jquery, DataStrures",Yes,4.0
MERN Stack,BCE34,Infotura Technologies ,Full stack developer ,22.0,No Degree,Yes,No,10.0,No,7.0,Bangalore,"React, Node, HTML, CSS, TailwindCSS, SCSS, MongoDB, AWS, Git, SQL",Yes,4.56
MERN Stack,BCK29,Neutrinos,Associate product Engineer ,22.0,Degree,Yes,No,10.0,No,1.0,Bangalore,"React, Node, HTML, CSS, TailwindCSS, SCSS, MongoDB, AWS, Git, SQL",No,5.0
MERN Stack,BCE30,Penieltech,Front-end developer,22.0,No Degree,No,No,10.0,No,0.0,WFH,"React, Node, HTML, CSS, TailwindCSS, SCSS, MongoDB, AWS, Git, SQL",No,5.0
MERN Stack,BCK31,Better Brands & Practices India Communications pvt. ltd.,Full Stack Developer,31.0,Degree,No,Yes [ Non IT industry ],12.0,No,0.0,Bangalore,"React,node,js,typescript,expresses,mongodb,html,css,tailwind css, ",Yes,4.2
MERN Stack,BCE39,Craxinno Technologies Private Limited,Full Stack Developer,24.0,No Degree,No,Yes [ Non IT industry ],16.0,Yes,1.0,Bangalore,"Dart,Api integration,",Yes,3.6
MERN Stack,BCK32,Neutrinos,Associate Product Engineer,21.0,Degree,Yes,No,10.0,No,4.0,Calicut ,"React js ,React query",Yes,5.0
MERN Stack,BCK35,Juntrax,Software Engineer,24.0,Degree,No,No,10.0,No,0.0,WFH,"React, Node, HTML, CSS, TailwindCSS, SCSS, MongoDB, AWS, Git, SQL",No,6.0
MERN Stack,BCK27,Artifitia Solutions ,MERN - Stack Developer ,23.0,Degree,Yes,No,10.0,Yes,1.0,WFH,"React js ,React query",Yes,3.0
MERN Stack,BCE34,Kurage,Full Stack Developer ,22.0,Degree,Yes,No,9.0,Yes,0.0,Bangalore,"React, Node, HTML, CSS, TailwindCSS, SCSS, MongoDB, AWS, Git, SQL",No,5.0
MERN Stack,BCT37,Studium Tech Pvt Ltd,Junior Software Developer,21.0,Degree,No,No,10.0,No,3.0,Nagercoil ,"React, Node, HTML, CSS, TailwindCSS, SCSS, MongoDB, AWS, Git, SQL",No,4.8
MERN Stack,BCK32,Akra Tech Pvt Ltd,Junior React developer,19.0,No Degree,No,No,10.0,No,2.0,Bangalore,"React, Node, HTML, CSS, TailwindCSS, SCSS, MongoDB, AWS, Git, SQL",No,3.6
MERN Stack,BCK32,Brototype,Business Development Executive (BDE),23.0,No Degree,No,Yes [ Non IT industry ],16.0,Yes,1.0,Bangalore,"React, Node, Html, CSS, Mongodb",Yes,2.53
Data Science,BCK32,Atlas Analytics,Software Development (Apprentice),22.0,No Degree,Yes,No,9.0,Yes,7.0,Manjeri Malappuram ,"React,node,js,typescript,expresses,mongodb,html,css,tailwind css, ",Yes,4.91
Web Development Using Python Django + React,BCE30,Ideenkreise Tech Pvt Ltd.,Python developer ,24.0,No Degree,No,No,9.0,Yes,5.0,Manjeri Malappuram ,"React,node js , nest js , express js , jest,go etc",Yes,3.6
MERN Stack,BCK32,Texol,Full stack developer ,19.0,No Degree,No,Bca dropout ,9.0,No,0.0,Nagercoil ,"Dart,Api integration,",Yes,2.4
Mobile Development Using Flutter,BCE40,Tree Integrated Services,Flutter developer,24.0,Degree,No,No,10.0,No,1.0,Bangalore,"React, Node, HTML, CSS, TailwindCSS, SCSS, MongoDB, AWS, Git, SQL",Yes,4.8
Web Development Using Python Django + React,BCE36,Accomptant Inc.,Python Developer,23.0,Degree,No,No,11.0,Yes,2.0,Manjeri Malappuram ,"Angular, Node JS, Express JS, HTML, CSS, Linux, MongoDB, Vim",Yes,10.0
MERN Stack,BCE34,Kurage,Full Stack Developer,25.0,No Degree,No,Yes [ Non IT industry ],16.0,Yes,7.0,Manjeri Malappuram ,"Angular, Express, Node, MongoDB, MySQL, Typescript, Html, CSS, Ajax, jquery, DataStrures",Yes,5.0
MERN Stack,BCE34,Avalontribe Infotech,MERN Developer ,22.0,Degree,Yes,No,10.0,No,4.0,WFH,"React, Node, Html, css, js, express, aws, docker, niginx, typescipt",Yes,5.5
MERN Stack,BCE33,Candela learnings ,Web developer ,22.0,Degree,No,No,10.0,No,4.0,WFH,"React, Node, HTML, CSS, TailwindCSS, SCSS, MongoDB, AWS, Git, SQL",Yes,3.8
Web Development Using Python Django + React,BCK41,Seventh Square Internet Private Limited ,Full stack developer,22.0,Degree,No,No,10.0,Yes,4.0,WFH,"React,node,js,typescript,expresses,mongodb,html,css,tailwind css, ",Yes,3.24
MERN Stack,BCT37,Aceware Fintech Services Pvt. Ltd.,Software Developer,24.0,Degree,Yes,No,12.0,Yes,2.0,Bangalore,"React, Node, HTML, CSS, TailwindCSS, SCSS, MongoDB, AWS, Git, SQL",No,3.0
Mobile Development Using Flutter,BCK31,Europe Study Centre Pvt Ltd (ESC),Flutter devoloper,22.0,Degree,No,No,12.0,Yes,0.0,WFH,"React,node,js,typescript,expresses,mongodb,html,css,tailwind css, ",Yes,4.2
Mobile Development Using Flutter,BCE39,Shoption Pvt Ltd,Flutter Developer ,22.0,Degree,No,No,10.0,No,3.0,WFH,"React, Node, HTML, CSS, TailwindCSS, SCSS, MongoDB, AWS, Git, SQL",No,4.8
Machine Learning,BCK29,Deepatabc,Research Assistant (Machine Learning),22.0,No Degree,No,No,12.0,No,1.0,WFH,"Angular, Express, Node, MongoDB, MySQL, Typescript, Html, CSS, Ajax, jquery, DataStrures",Yes,4.8
MERN Stack,BCK35,Blocktrack,Full Stack Developer ,21.0,Degree,No,No,12.0,No,2.0,Bangalore,"React, Node, HTML, CSS, TailwindCSS, SCSS, MongoDB, AWS, Git, SQL",No,3.5
MERN Stack,BCT37,aTeam Soft Solutions,Software Engineer,22.0,No Degree,No,No,12.0,No,7.0,Manjeri Malappuram ,"React, Node, HTML, CSS, TailwindCSS, SCSS, MongoDB, AWS, Git, SQL",Yes,3.8
MERN Stack,BCK41,Hash IT Solution,Front End Developer,21.0,Degree,Yes,No,10.0,No,7.0,Manjeri Malappuram ,"Dart,Api integration,",Yes,3.0
Mobile Development Using Flutter,BCE33,Algorithma Digitech Pvt Ltd,Flutter developer,22.0,Degree,No,No,10.0,No,1.0,Bangalore,"Angular, Express, Node, MongoDB, MySQL, Typescript, Html, CSS, Ajax, jquery, DataStrures",Yes,4.44
Golang,BCK27,BPS Pvt Ltd,Go Developer,22.0,No Degree,No,No,10.0,No,2.0,Bangalore,"React, Node, HTML, CSS, TailwindCSS, SCSS, MongoDB, AWS, Git, SQL",Yes,4.6
Web Development Using Python Django + React,BCE30,PeerXP,Python Django Developer,22.0,No Degree,No,No,10.0,Yes,2.0,Bangalore,"Angular, Express, Node, MongoDB, MySQL, Typescript, Html, CSS, Ajax, jquery, DataStrures",Yes,4.0
MERN Stack,BCK27,Onstara Private Limited,Software Developer Trainee,23.0,Degree,Yes,No,10.0,No,0.0,WFH,"Python, HTML, CSS, Deep Learning, OpenCV, CNN, Computer Vision",Yes,2.82
Web Development Using Python Django,BCE36,Infotura Technologies ,Python Developer,22.0,Degree,No,No,10.0,No,2.0,WFH,"React, Node, HTML, CSS, TailwindCSS, SCSS, MongoDB, AWS, Git, SQL",Yes,4.56
MERN Stack,BCK35,Eqaim Technology & Services,Full Stack Developer,23.0,Degree,No,No,11.0,Yes,2.0,WFH,"Angular, Express, Node, MongoDB, MySQL, Typescript, Html, CSS, Ajax, jquery, DataStrures",Yes,4.2
MERN Stack,BCK29,Pardy Panda Studios Pvt. Ltd.,Web Developer ,22.0,Degree,Yes,No,10.0,Yes,5.0,Manjeri Malappuram ,"React, Node, HTML, CSS, TailwindCSS, SCSS, MongoDB, AWS, Git, SQL",Yes,4.56
MERN Stack,BCK46,Pardy Panda Studios Pvt. Ltd.,Web Developer ,23.0,Degree,Yes,No,9.0,No,0.0,Bangalore,"React, Node, HTML, CSS, TailwindCSS, SCSS, MongoDB, AWS, Git, SQL",No,4.56
MERN Stack,BCK38,Troposphere Solutions Pvt Ltd,Software Engineer,21.0,No Degree,No,No,9.0,No,7.0,Manjeri Malappuram ,"React,node,js,typescript,expresses,mongodb,html,css,tailwind css, ",Yes,6.0
